city,date,temp_max,temp_min
Chicago,2025-04-11,33.998,32.108
Chicago,2025-04-12,35.006,32.396
Chicago,2025-04-13,35.204,33.998
Chicago,2025-04-14,35.204,33.602
Chicago,2025-04-15,34.394,32.594
Chicago,2025-04-16,33.908,32.306
Chicago,2025-04-17,35.204,32.702
Chicago,2025-04-18,36.392,34.808
Chicago,2025-04-19,34.808,33.206
Chicago,2025-04-20,34.7,33.296
Chicago,2025-04-21,34.898,33.296
Chicago,2025-04-22,36.194,32.9
Chicago,2025-04-23,36.392,34.394
Chicago,2025-04-24,36.302,33.908
Chicago,2025-04-25,34.7,33.494
Chicago,2025-04-26,34.196,32.9
Chicago,2025-04-27,35.708,32.702
Chicago,2025-04-28,37.202,34.106
Chicago,2025-04-29,36.5,33.8
Chicago,2025-04-30,34.898,33.206
Chicago,2025-05-01,35.6,33.908
Chicago,2025-05-02,34.502,33.404
Chicago,2025-05-03,34.196,33.206
Chicago,2025-05-04,34.7,33.296
Chicago,2025-05-05,34.898,33.494
Chicago,2025-05-06,36.5,33.494
Chicago,2025-05-07,36.302,33.602
Chicago,2025-05-08,34.592,32.9
Chicago,2025-05-09,35.492,32.504
Chicago,2025-05-10,36.104,33.404
Chicago,2025-05-11,35.906,33.008
Chicago,2025-05-12,36.806,33.602
Chicago,2025-05-13,36.608,34.592
Chicago,2025-05-14,36.806,34.394
Chicago,2025-05-15,38.192,34.502
Chicago,2025-05-16,37.598,34.808
Chicago,2025-05-17,35.906,34.196
Chicago,2025-05-18,35.204,33.296
Chicago,2025-05-19,34.304,33.098
Chicago,2025-05-20,34.394,33.602
Chicago,2025-05-21,33.998,33.602
Chicago,2025-05-22,34.502,33.404
Chicago,2025-05-23,35.294,33.008
Chicago,2025-05-24,35.402,33.206
Chicago,2025-05-25,35.402,33.494
Chicago,2025-05-26,35.492,33.404
Chicago,2025-05-27,35.708,33.998
Chicago,2025-05-28,35.096000000000004,34.304
Chicago,2025-05-29,35.798,34.106
Chicago,2025-05-30,36.104,34.106
Chicago,2025-05-31,35.204,33.8
Chicago,2025-06-01,35.798,33.404
Chicago,2025-06-02,37.202,33.8
Chicago,2025-06-03,37.706,35.6
Chicago,2025-06-04,35.906,34.304
Chicago,2025-06-05,35.996,34.196
Chicago,2025-06-06,36.5,34.502
Chicago,2025-06-07,36.5,34.196
Chicago,2025-06-08,36.896,34.7
Chicago,2025-06-09,35.906,34.304
Chicago,2025-06-10,36.608,34.304
Chicago,2025-06-11,37.994,35.204
Chicago,2025-06-12,36.698,35.006
Chicago,2025-06-13,35.906,34.7
Chicago,2025-06-14,36.392,34.592
Chicago,2025-06-15,37.004,34.502
Chicago,2025-06-16,37.598,34.898
Chicago,2025-06-17,37.994,35.906
Chicago,2025-06-18,36.896,35.402
Chicago,2025-06-19,37.292,35.294
Chicago,2025-06-20,37.4,35.708
Chicago,2025-06-21,38.192,36.608
Chicago,2025-06-22,38.192,36.806
Chicago,2025-06-23,38.3,36.698
Chicago,2025-06-24,38.192,36.194
Chicago,2025-06-25,37.706,35.906
Chicago,2025-06-26,38.192,36.5
Chicago,2025-06-27,37.508,35.996
Chicago,2025-06-28,37.796,35.6
Chicago,2025-06-29,38.192,36.104
Chicago,2025-06-30,37.796,36.194
Chicago,2025-07-01,37.508,35.798
Chicago,2025-07-02,37.903999999999996,35.906
Chicago,2025-07-03,38.3,35.996
Chicago,2025-07-04,37.994,36.194
Chicago,2025-07-05,38.192,36.392
Chicago,2025-07-06,37.292,35.402
Chicago,2025-07-07,37.094,35.294
Houston,2025-04-11,37.598,34.898
Houston,2025-04-12,37.4,34.304
Houston,2025-04-13,37.598,35.492
Houston,2025-04-14,37.508,35.798
Houston,2025-04-15,37.094,35.006
Houston,2025-04-16,37.094,35.006
Houston,2025-04-17,37.508,35.708
Houston,2025-04-18,37.706,36.194
Houston,2025-04-19,37.202,36.194
